2014-5-9,13:33:36,
TSL,SANTEC,TSL-510,13050006,0002.0082,
OPM,HEWLETT-PACKARD,HP8163A,DE38705993,V4.50(24037),
,Agilent Technologies,81619A,DE41201466,V4.01(1126),
,Agilent Technologies,81619A,DE38701300,V4.06(71686),
Start,1288.000000,nm
Stop,1300.000000,nm
Step,0.001000,nm
Speed,40.000000,nm/s
Source power,0.000000,dBm
Averaging Time,0.000100,s
Power range,0.0000,dBm
Wavelength(nm),Loss Slot1-Ch1(dB),
1288.20100000,-38.06046434,
1288.20200000,-37.90968222,
1288.20300000,-37.76394919,
1288.20400000,-37.62497995,
1288.20500000,-37.48924192,
1288.20600000,-37.35802356,
1288.20700000,-37.22966235,
1288.20800000,-37.36454435,
1288.20900000,-37.77440781,
1288.21000000,-38.22772905,
1288.21100000,-38.73344619,
1288.21200000,-38.67680533,
1288.21300000,-38.34011651,
1288.21400000,-38.02569224,
1288.21500000,-37.73399578,
1288.21600000,-37.79832729,
1288.21700000,-37.94554050,
1288.21800000,-38.09794386,
1288.21900000,-38.25339068,
1288.22000000,-38.41552082,
1288.22100000,-38.58589658,
1288.22200000,-38.75986710,
1288.22300000,-38.89576463,
1288.22400000,-38.71568362,
1288.22500000,-38.54152441,
1288.22600000,-38.37311429,
1288.22700000,-38.21185712,
1288.22800000,-38.05659673,
1288.22900000,-37.90552740,
1288.23000000,-37.76062316,
1288.23100000,-37.80351279,
1288.23200000,-38.10106060,
1288.23300000,-38.42056898,
1288.23400000,-38.76536853,
1288.23500000,-38.70317325,
1288.23600000,-38.36150718,
1288.23700000,-38.04434216,
1288.23800000,-37.75211799,
1288.23900000,-37.99973764,
1288.24000000,-38.47715605,
1288.24100000,-38.98128974,
1288.24200000,-39.55129666,
1288.24300000,-39.69577119,
1288.24400000,-39.69477912,
1288.24500000,-39.69407346,
1288.24600000,-39.69525715,
1288.24700000,-39.41589816,
1288.24800000,-39.03968496,
1288.24900000,-38.69350044,
1288.25000000,-38.37241261,
1288.25100000,-38.43744204,
1288.25200000,-38.76293139,
1288.25300000,-39.11501522,
1288.25400000,-39.49943491,
1288.25500000,-39.58691084,
1288.25600000,-39.38730384,
1288.25700000,-39.19757194,
1288.25800000,-39.01274825,
1288.25900000,-38.91486715,
1288.26000000,-38.91578345,
1288.26100000,-38.91584414,
1288.26200000,-38.91614895,
1288.26300000,-38.91517733,
1288.26400000,-38.91812700,
1288.26500000,-38.91565498,
1288.26600000,-38.91601092,
1288.26700000,-38.96466460,
1288.26800000,-39.14560084,
1288.26900000,-39.33339380,
1288.27000000,-39.52964732,
1288.27100000,-39.69598045,
1288.27200000,-39.69582166,
1288.27300000,-39.69545146,
1288.27400000,-39.69544667,
1288.27500000,-39.62530618,
1288.27600000,-39.04604700,
1288.27700000,-38.53557191,
1288.27800000,-38.07838289,
1288.27900000,-37.68082335,
1288.28000000,-37.81587325,
1288.28100000,-37.95262089,
1288.28200000,-38.09490748,
1288.28300000,-38.24123408,
1288.28400000,-38.39338888,
1288.28500000,-38.55263586,
1288.28600000,-38.71485981,
1288.28700000,-38.88632076,
1288.28800000,-39.06282191,
1288.28900000,-39.24838287,
1288.29000000,-39.44183930,
1288.29100000,-39.64449620,
1288.29200000,-39.52711940,
1288.29300000,-39.33031901,
1288.29400000,-39.14049720,
1288.29500000,-38.95950449,
1288.29600000,-38.90955814,
1288.29700000,-38.90877950,
1288.29800000,-38.90805931,
